state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Bihar,Begusarai,Kanhaiya Kumar,GENERAL,CPI,269976,22.01,2nd place,Not Found,Not Found
Bihar,Begusarai,Mo. Tanweer Hassan,GENERAL,RJD,198233,16.16,3rd place,Not Found,Not Found
Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,GENERAL,LJP,510193,52.74,Winner,Not Found,Not Found
Bihar,Khagaria,Mukesh Sahani,GENERAL,VSIP,261623,27.04,2nd place,Not Found,Not Found
Bihar,Khagaria,Priadarshi Dinkar,GENERAL,IND,51847,5.36,3rd place,Not Found,Not Found
Bihar,Bhagalpur,AJAY KUMAR MANDAL,GENERAL,JD(U),618254,59.27,Winner,Not Found,Not Found
Bihar,Bhagalpur,SHAILESH KUMAR ALIAS VULO MANDAL,GENERAL,RJD,340624,32.65,2nd place,Not Found,Not Found
Bihar,Bhagalpur,NOTA,,NOTA,31567,3.03,3rd place,NA,NA
Bihar,Banka,GIRIDHARI YADAV,GENERAL,JD(U),477788,47.98,Winner,Not Found,Not Found
Bihar,Banka,JAI PRAKASH NARAYAN YADAV,GENERAL,RJD,277256,27.84,2nd place,Not Found,Not Found
Bihar,Banka,PUTUL KUMARI,GENERAL,IND,103729,10.42,3rd place,Not Found,Not Found
Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,GENERAL,JD(U),528762,51.02,Winner,Not Found,Not Found
Bihar,Munger,NILAM DEVI,GENERAL,INC,360825,34.81,2nd place,Not Found,Not Found
Bihar,Munger,AMARJIT PATEL,GENERAL,IND,18646,1.8,3rd place,Not Found,Not Found
Bihar,Nalanda,Kaushlendra Kumar,GENERAL,JD(U),540888,52.42,Winner,Not Found,Not Found
Bihar,Nalanda,Ashok Kumar Azad,GENERAL,HAMS,284751,27.6,2nd place,Not Found,Not Found
Bihar,Nalanda,Ramvilaf Paswan,SC,RAHIS,21276,2.06,3rd place,Not Found,Not Found
Bihar,Patna Sahib,RAVI SHANKAR PRASAD,GENERAL,BJP,607506,61.81,Winner,Not Found,Not Found
Bihar,Patna Sahib,SHATRUGHAN SINHA,GENERAL,INC,322849,32.85,2nd place,Not Found,Not Found
Bihar,Patna Sahib,NIMESH SHUKLA,GENERAL,IND,9319,0.95,3rd place,Not Found,Not Found
Bihar,Pataliputra,RAM KRIPAL YADAV,GENERAL,BJP,509557,47.23,Winner,Not Found,Not Found
Bihar,Pataliputra,MISHA BHARTI,GENERAL,RJD,470236,43.59,2nd place,Not Found,Not Found
Bihar,Pataliputra,MD. KALIMULLAH,GENERAL,BSP,14045,1.3,3rd place,Not Found,Not Found
Bihar,Arrah,R. K. Singh,GENERAL,BJP,566480,52.33,Winner,Not Found,Not Found
Bihar,Arrah,Raju Yadav,GENERAL,CPI(ML)(L),419195,38.73,2nd place,Not Found,Not Found
Bihar,Arrah,NOTA,,NOTA,21825,2.02,3rd place,NA,NA
Bihar,Buxar,Ashwini Kumar Choubey,GENERAL,BJP,473053,47.93,Winner,Not Found,Not Found
